PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
61,0,1,"Johnson, Frances",female,5,3,3,3527284,19,B98,C
62,1,3,"Howard, Roger",female,22,4,5,4664162,80,A54,C
63,0,3,"Green, Colin",female,30,0,0,5565121,144,B98,Q
64,0,3,"Brennan, Jeffrey",female,23,2,2,2050980,23,B98,S
65,0,1,"Sheppard, Jordan",female,28,3,1,3604265,121,F5,C
66,1,3,"Hill, Darren",male,10,0,3,3411203,89,F5,S
67,0,1,"Brooks, Leonard",male,18,1,2,566181,32,A54,Q
68,1,2,"Clark, Jemma",female,57,1,0,642748,18,A54,S
69,1,1,"Davies, Lee",male,32,3,3,5019946,17,A54,S
70,0,2,"Stewart, Donald",female,10,0,4,5551119,115,F5,C
71,1,2,"Thomas, Barry",female,37,2,2,2315469,93,B98,S
72,0,1,"Oliver, Samuel",female,54,0,3,1465617,92,C12,C
73,1,3,"Lawrence, Katy",male,9,4,0,1745300,38,C12,Q
74,0,2,"Barker, Debra",male,16,0,0,3404652,70,B98,Q
75,1,2,"Evans, Stanley",male,50,3,2,2728650,100,C12,Q
76,0,1,"Spencer, Paige",female,15,1,3,2971441,134,A54,S
77,0,3,"Lee, Charlie",female,61,3,3,3212024,143,A54,Q
78,0,2,"Shaw, Frank",male,7,3,1,2294779,131,B98,C
79,1,1,"Shaw, Antony",male,7,0,5,3343081,134,F5,S
80,1,2,"Dean, Joyce",male,64,4,2,2183619,113,A54,Q
81,0,1,"Young, Leah",female,16,0,3,4809038,18,A54,C
82,1,2,"Khan, Kimberley",male,29,2,1,883674,21,F5,C
83,0,1,"Kay, Natalie",female,15,2,5,3770744,38,B98,S
84,0,2,"Bishop, Natalie",female,32,0,1,716139,97,A54,C
85,0,1,"Morrison, Lorraine",female,23,1,1,1262754,80,F5,Q
86,1,3,"Evans, Gary",male,32,2,5,4229023,146,F5,C
87,0,1,"Heath, Natalie",female,7,2,2,3164404,47,B98,S
88,0,1,"Lawrence, Jamie",male,20,1,5,3702001,144,F5,C
89,0,1,"Rahman, Gail",male,56,4,4,874409,53,C12,Q
90,0,2,"Hutchinson, Charlene",male,15,2,5,4373339,138,A54,Q
91,1,3,"Rice, Danielle",female,12,2,5,2809467,89,B98,C
92,0,1,"Berry, Caroline",female,48,1,5,3621225,22,A54,Q
93,0,1,"Chamberlain, Mathew",female,34,1,4,3763796,81,C12,Q
94,0,1,"Parkinson, Sheila",female,44,0,4,2986066,127,C12,S
95,1,3,"Hart, Lee",male,17,4,3,737130,60,B98,Q
96,1,2,"Burns, Jay",female,36,3,3,4919832,42,F5,S
97,0,1,"Davies, Shannon",female,51,2,2,4811066,115,B98,C
98,0,1,"Johnston, Denise",female,19,1,0,1717396,84,B98,S
99,1,2,"Wheeler, Kathleen",female,61,3,4,1437709,87,F5,S
100,1,3,"Wheeler, Danny",female,33,3,1,1445514,47,B98,Q
101,0,1,"Whitehead, Harriet",female,11,3,0,958680,103,C12,S
102,0,1,"Taylor, Benjamin",male,8,3,0,3166921,52,C12,S
103,1,2,"Palmer, Colin",female,15,1,5,4944098,101,F5,C
104,1,3,"Allen, Josephine",male,57,2,2,4157853,134,C12,S
105,0,1,"Arnold, Julia",female,34,3,5,4369952,53,A54,S
106,0,2,"Clayton, Clifford",male,6,3,0,3351946,129,A54,C
107,0,3,"Williams, Marie",female,46,1,4,1519357,55,C12,S
108,0,2,"Barnett, Marian",female,55,2,2,5019018,119,C12,C
109,1,2,"Elliott, Bernard",female,49,2,3,1860318,95,C12,C
110,0,2,"Pearce, Diana",male,49,4,3,2929767,127,A54,C
111,0,1,"Leach, Darren",female,18,2,0,3224511,135,A54,S
112,0,2,"Cook, Stephanie",male,30,1,0,3448698,74,C12,C
113,1,2,"Johnson, Kevin",male,18,1,5,1623560,12,C12,Q
114,1,2,"Dickinson, Kate",female,61,0,2,1154913,94,C12,C
115,1,3,"Knight, Abigail",male,57,3,0,4069016,43,B98,C
116,0,1,"Miller, Jacob",female,12,0,5,2279080,122,F5,Q
117,1,2,"Walker, Eleanor",male,56,3,0,4934981,86,B98,Q
118,1,2,"Allen, Katherine",female,10,3,3,1406936,16,F5,Q
119,1,2,"Shepherd, Douglas",male,54,3,0,4409205,65,F5,S
120,1,3,"Stewart, Toby",female,17,0,3,3609733,71,B98,S
121,1,1,"Gardner, Rebecca",male,28,0,0,5390987,48,A54,S
122,1,3,"Austin, Gerard",male,42,4,1,4479176,22,C12,S
123,1,2,"Stevens, Alice",male,19,3,4,2004119,96,B98,S
124,0,2,"Dixon, Lynn",female,29,1,3,1059333,73,B98,C
125,1,2,"Jones, Stanley",female,59,4,5,3823082,88,F5,Q
126,1,3,"Reed, Christopher",male,24,4,0,2847170,26,B98,S
127,1,1,"Holloway, Patricia",male,54,3,4,1307031,60,B98,S
128,1,3,"Wheeler, Suzanne",male,16,0,5,1298672,68,C12,S
129,0,1,"Stone, Neil",female,13,0,3,4926163,93,A54,S
130,1,3,"McDonald, Emily",male,38,4,3,1776035,102,F5,Q
131,0,1,"Berry, Abigail",female,49,4,2,5459564,20,A54,Q
132,0,1,"Palmer, Lorraine",female,25,1,4,2539854,118,C12,C
133,0,2,"Gough, Emma",female,7,3,0,5975076,76,F5,S
134,1,2,"Fleming, Danielle",male,28,2,3,5752898,116,C12,C
135,0,1,"Roberts, Hannah",female,33,3,5,4289481,45,F5,C
136,0,3,"Gardiner, Tracey",female,36,1,3,4550653,138,C12,C
137,1,2,"Taylor, Samuel",female,42,2,3,5704160,90,C12,Q
138,1,3,"Shaw, Max",male,18,2,0,4863251,127,A54,C
139,1,2,"Rogers, Janet",female,42,4,3,5261447,88,A54,S
140,1,3,"Davey, Rita",male,38,4,3,5162557,115,B98,Q
141,0,1,"Bowen, Nigel",female,10,4,1,1391509,71,C12,S
142,0,2,"Reid, Bruce",female,19,4,4,4756165,146,B98,C
143,1,1,"Evans, Stephen",male,13,0,2,4155355,108,A54,S
144,1,3,"Spencer, Kirsty",male,28,4,2,3840902,25,B98,C
145,1,1,"Robinson, Jemma",male,61,2,2,2458500,101,B98,C
146,1,2,"Barrett, Dominic",female,51,3,3,3682192,17,A54,Q
147,1,2,"Reeves, Marc",male,62,4,4,3499733,12,A54,Q
148,1,3,"Patel, Josh",male,47,2,3,5347609,104,F5,Q
149,1,3,"Jackson, Annette",female,10,4,2,4323173,49,A54,Q
150,1,2,"Lord, David",female,62,2,5,1199640,54,C12,C
151,1,3,"Price, Anne",male,48,2,5,696807,22,C12,Q
152,0,2,"Burton, Kate",male,60,2,5,4647940,50,B98,C
153,0,2,"Dixon, Maria",male,33,0,0,2448120,33,C12,C
154,0,2,"Evans, Anna",male,26,3,2,4464699,21,A54,S
155,1,2,"Bailey, Shane",male,33,4,1,1860402,97,A54,S
156,0,2,"Carter, Colin",female,58,3,1,1831248,70,F5,C
157,0,1,"Lloyd, Jake",male,37,3,1,1467787,106,C12,S
158,0,1,"Hurst, Vanessa",male,65,0,3,5051922,33,B98,Q
159,1,2,"Chamberlain, Bethany",male,40,1,2,2853895,107,F5,S
160,1,3,"O'Brien, Amelia",female,26,1,2,3191780,138,B98,S
161,0,2,"Brown, Katie",male,14,2,3,2962332,80,A54,S
162,0,3,"Thomas, Irene",female,9,0,5,5587591,28,B98,C
163,1,3,"King, Damian",male,15,1,0,5912520,150,F5,Q
164,1,3,"Martin, Caroline",female,12,0,3,2687429,121,A54,S
165,0,1,"Barnes, Neil",female,8,0,0,2754974,92,B98,C
166,1,3,"Riley, Bethan",male,36,0,4,3524905,92,C12,Q
167,0,1,"Mason, Adrian",female,15,4,0,3752634,136,F5,Q
168,1,3,"Lewis, Nicole",female,9,0,1,2833137,69,F5,S
169,0,2,"Clarke, Gareth",male,41,4,0,768269,69,A54,S
170,0,1,"Bird, Graeme",female,37,3,0,3344086,21,C12,S
171,0,1,"Bates, Shannon",male,43,4,3,2399897,110,F5,C
172,1,1,"Sanders, Charlotte",male,16,2,2,5524467,59,C12,S
173,0,2,"Robson, Lawrence",male,38,2,5,4847150,58,A54,Q
174,1,3,"Roberts, Craig",female,58,0,4,5810430,95,C12,Q
175,0,1,"Carroll, Sian",female,39,1,2,4841423,145,A54,C
176,1,1,"James, Yvonne",male,25,2,2,1354339,32,C12,S
177,0,1,"Howell, Justin",male,38,1,3,2569958,53,C12,Q
178,1,3,"Smith, Christopher",male,14,3,3,593316,90,F5,C
179,0,1,"Miah, Joanna",male,15,1,5,5288183,145,C12,Q
180,1,3,"Roberts, Hollie",male,34,1,3,5409663,62,F5,C
181,0,1,"Smith, Ricky",female,56,1,0,2936568,74,B98,S
182,0,2,"Matthews, Ricky",female,20,4,5,1544464,139,C12,Q
183,0,1,"Brooks, Lucy",male,17,3,2,1228389,31,B98,S
184,1,1,"Talbot, Bruce",male,39,4,1,4017718,15,F5,Q
185,1,3,"Brown, Joyce",male,9,4,5,5829974,37,A54,Q
186,1,2,"Evans, Allan",male,21,4,2,1328097,123,B98,Q
187,1,3,"Jones, Eileen",male,37,4,3,985446,127,F5,C
188,0,3,"Hardy, Jake",female,5,3,2,2990828,141,C12,C
189,0,1,"Taylor, Callum",female,40,1,1,4476619,118,B98,S
190,0,2,"Dodd, Bethan",male,62,0,4,1819891,11,C12,S
191,1,3,"Barker, Georgia",female,58,2,5,4058813,107,B98,Q
192,1,1,"Shaw, Keith",male,25,1,2,2269114,71,B98,Q
193,1,1,"Holmes, Leonard",male,44,2,5,5005522,88,C12,C
194,0,3,"Davidson, Ryan",female,56,3,0,3984396,112,B98,Q
195,0,1,"Ward, Mathew",female,62,2,2,3525896,99,F5,Q
196,1,1,"Ward, Sean",male,45,2,3,1375226,105,A54,Q
197,1,3,"Rhodes, Gerard",female,61,3,2,4024128,136,C12,S
198,1,2,"Jones, Thomas",female,31,4,2,4583782,41,A54,Q
199,0,1,"Palmer, Kayleigh",male,6,0,1,5275422,60,F5,Q
200,1,2,"Nicholson, Amy",female,45,1,2,997500,46,A54,S
201,0,1,"Thomas, Marion",female,33,3,4,1985114,33,B98,C
202,1,2,"Kirby, Judith",female,28,3,1,3669368,82,C12,C
203,1,2,"Black, Tony",female,36,4,2,5405955,63,B98,C
204,0,1,"Douglas, Lisa",male,49,1,1,1554549,101,B98,Q
205,1,3,"Anderson, Leonard",female,10,4,5,4191311,79,F5,Q
206,1,3,"Clarke, Daniel",female,41,0,2,1606347,139,B98,C
207,1,3,"Doherty, Yvonne",female,43,1,1,3078178,69,A54,C
208,0,1,"Clarke, Bryan",female,33,0,3,1373202,30,F5,C
209,1,2,"Armstrong, Gerard",female,31,2,5,1480096,92,A54,C
210,0,1,"Jarvis, Nathan",male,57,2,5,5684729,137,A54,Q
211,0,2,"Kelly, Claire",female,57,4,3,3481203,54,F5,Q
212,0,2,"Banks, Sam",female,15,4,5,2627409,56,F5,Q
213,0,2,"Shaw, Raymond",female,64,3,4,2356647,124,C12,Q
214,1,3,"Fox, Leanne",female,30,2,2,3522753,121,F5,S
215,1,3,"Brennan, Carole",male,30,4,5,2209522,10,B98,S
216,0,2,"Browne, Carole",male,9,3,2,1810517,117,A54,Q
217,0,2,"Frost, Sandra",male,11,2,1,3972441,48,F5,Q
218,1,3,"Rees, Sarah",male,12,4,0,4862325,107,C12,Q
219,1,2,"Jones, Denise",female,62,1,3,999544,107,B98,S
220,1,3,"Parkin, Patrick",male,16,3,3,4662747,21,B98,S
221,1,3,"Thompson, Nicola",male,41,4,5,1266028,46,A54,S
222,1,2,"Watson, Vanessa",female,16,2,2,5969141,145,C12,Q
223,0,2,"Walker, Ashleigh",male,55,1,2,5690930,73,A54,S
224,0,1,"Richardson, Leonard",female,36,1,1,1010683,60,A54,Q
225,0,1,"Marsh, Frederick",female,18,3,1,4098272,51,C12,C
226,1,2,"Armstrong, Anne",female,53,1,5,1990877,128,C12,Q
227,1,2,"Reynolds, George",female,27,3,3,1641213,102,C12,C
228,0,1,"Heath, Hayley",male,25,3,2,3730285,18,B98,C
229,0,2,"Warren, Cheryl",male,5,3,1,5282984,72,B98,C
230,0,1,"Singh, Grace",female,44,0,1,988985,37,F5,Q
231,1,3,"Clayton, Marilyn",male,60,0,3,5295264,120,B98,C
232,1,3,"Cooper, Karl",female,14,2,3,995453,136,C12,S
233,1,3,"Brown, Jeremy",male,21,0,5,3390357,122,C12,Q
234,0,3,"Allen, Josh",female,35,3,1,567441,64,C12,Q
235,0,1,"Thorpe, Deborah",male,31,3,4,3257493,130,A54,C
236,1,3,"Shaw, Ronald",female,55,0,2,5136209,75,B98,S
237,0,3,"Lane, Teresa",female,18,0,2,1879359,118,F5,S
238,0,1,"Harvey, Brenda",male,55,3,1,2794975,102,A54,C
239,0,1,"Sheppard, Francesca",male,24,2,1,5991490,63,B98,Q
240,1,3,"Morton, Ian",male,24,2,3,4167199,138,A54,S
241,0,2,"Pearson, Angela",female,47,3,1,4503163,71,B98,C
242,1,1,"Reid, Adrian",male,50,3,5,2713955,57,C12,Q
243,1,2,"Benson, Frederick",male,15,4,1,1989961,95,F5,S
244,0,3,"Kemp, Dennis",female,43,3,4,1081810,91,F5,Q
245,0,1,"Sharpe, Louise",female,58,4,2,579391,135,F5,S
246,0,1,"Akhtar, Bethan",female,8,0,1,5106208,25,C12,Q
247,1,3,"Poole, Damian",male,16,0,5,1556205,63,F5,C
248,0,2,"Humphries, Joyce",male,7,2,1,4808351,99,C12,Q
249,1,3,"Bird, Duncan",female,40,0,3,1570824,75,A54,S
250,1,3,"Wilson, Steven",female,29,1,2,5415766,148,F5,S
251,1,1,"Yates, Lorraine",male,29,4,2,4416113,106,F5,Q
252,1,2,"Bell, Linda",female,41,3,5,1875148,19,A54,Q
253,1,3,"Ellis, Trevor",male,19,2,5,1044848,134,B98,S
254,0,2,"Evans, Simon",female,25,2,2,1996322,11,C12,S
255,1,2,"Ward, Conor",male,40,0,2,3477939,49,F5,C
256,0,1,"Walker, Laura",male,48,1,5,3563512,122,B98,C
257,0,1,"Lewis, Hollie",female,18,2,2,4619124,146,B98,S
258,0,2,"Carr, Alice",female,5,2,0,1203287,28,A54,C
259,1,2,"Morris, Bradley",female,21,4,2,3728414,17,C12,S
260,0,2,"Day, Dylan",male,37,0,4,4882461,26,A54,S
261,1,3,"Willis, Martin",male,22,1,4,1319812,87,F5,S
262,0,1,"King, Terence",female,39,1,1,1563561,114,C12,Q
263,1,3,"Freeman, Albert",female,37,3,3,3367418,39,C12,C
264,1,1,"Cook, Samuel",male,33,3,3,4551757,149,A54,S
265,0,2,"Lawrence, Joanna",male,32,2,1,2645438,40,B98,Q
266,0,2,"Day, Douglas",male,51,1,4,1200827,16,F5,S
267,1,2,"Todd, William",male,61,1,4,4696312,60,F5,S
268,1,2,"Stevens, Josh",male,61,1,5,802301,11,B98,Q
269,0,3,"Peacock, Tracy",female,12,1,1,1652176,50,C12,S
270,1,3,"Clark, Lynn",female,9,0,2,3302045,76,C12,Q
271,1,2,"Lee, Alexandra",male,28,0,5,5763618,135,F5,C
272,0,1,"Anderson, Natasha",female,36,0,1,4739073,84,B98,C
273,1,1,"Singh, Katy",male,31,2,0,4102271,139,A54,S
274,0,1,"Campbell, Lindsey",female,44,4,1,2954001,60,F5,C
275,0,3,"Dobson, Mohammed",female,55,0,4,5245040,66,F5,Q
276,0,2,"Armstrong, Katy",female,33,0,1,5756228,88,B98,C
277,1,3,"Bailey, James",male,13,0,4,740367,128,A54,S
278,1,3,"Palmer, Liam",female,17,0,1,513412,14,B98,S
279,1,2,"Evans, Joshua",male,24,4,1,5236239,113,F5,Q
280,0,1,"Field, Ian",female,37,3,1,3763572,26,B98,S
281,0,1,"Taylor, Margaret",female,20,4,5,5925627,11,C12,Q
282,0,1,"Thompson, Callum",male,47,4,2,4443332,121,C12,C
283,1,1,"Gray, Elliott",male,53,2,1,1232185,149,B98,C
284,1,3,"James, Frank",male,34,4,3,2151687,144,B98,S
285,0,1,"Moore, Shaun",female,21,1,5,5083212,36,C12,C
286,1,2,"James, Martyn",female,24,4,1,4702917,89,C12,C
287,1,1,"Fuller, Joshua",male,7,2,5,5557789,89,F5,Q
288,1,1,"Ball, Henry",male,61,0,4,4957654,50,A54,C
289,1,2,"Matthews, Craig",female,54,4,0,1902250,111,F5,C
290,1,3,"Gregory, Declan",female,22,1,3,1501902,47,B98,S
291,0,2,"Barrett, Elaine",female,9,3,0,2051908,118,C12,C
292,1,2,"Holland, Jason",female,32,1,2,3861721,59,B98,S
293,1,3,"Rahman, Cheryl",female,58,0,1,1249333,147,B98,C
294,1,3,"Waters, Victoria",male,45,2,0,780827,16,C12,Q
295,0,3,"Williams, Allan",female,47,3,5,1453225,76,F5,C
296,0,3,"Fisher, Eileen",female,20,0,3,5034906,110,F5,C
297,0,2,"Jones, Bethany",female,40,0,5,2959115,38,C12,S
298,1,3,"Harvey, Dawn",male,41,0,0,3352944,141,A54,S
299,1,2,"O'Donnell, Timothy",female,39,3,3,3564227,18,F5,C
300,1,1,"Davies, Anthony",male,62,3,2,1401105,91,A54,Q
